Muestra,Productos-Lote,Tiempo-Entrega,Defectuoso
1,19,19000,0
2,35,20000,0
3,26,43000,0
4,27,57000,0
5,19,76000,0
6,27,58000,0
7,27,84000,0
8,32,150000,1
9,25,33000,0
10,35,65000,0
11,26,80000,0
12,26,52000,0
13,20,86000,0
14,32,18000,0
15,18,82000,0
16,29,80000,0
17,47,25000,1
18,45,26000,1
19,46,28000,1
20,48,29000,1
21,45,22000,1
22,47,49000,1
23,48,41000,1
24,45,22000,1
25,46,23000,1
26,47,20000,1
27,49,28000,1
28,47,30000,1
29,29,43000,0
30,31,18000,0
31,31,74000,0
32,27,137000,1
33,21,16000,0
34,28,44000,0
35,27,90000,0
36,35,27000,0
37,33,28000,0
38,30,49000,0
39,26,72000,0
40,27,31000,0
41,27,17000,0
42,33,51000,0
43,35,108000,0
44,30,15000,0
45,28,84000,0
46,23,20000,0
47,25,79000,0
48,27,54000,0
49,30,135000,1
50,31,89000,0
51,24,32000,0
52,18,44000,0
53,29,83000,0
54,35,23000,0
55,27,58000,0
56,24,55000,0
57,23,48000,0
58,28,79000,0
59,22,18000,0
60,32,117000,0
61,27,20000,0
62,25,87000,0
63,23,66000,0
64,32,120000,1
65,59,83000,0
66,24,58000,0
67,24,19000,0
68,23,82000,0
69,22,63000,0
70,31,68000,0
71,25,80000,0
72,24,27000,0
73,20,23000,0
74,33,113000,0
75,32,18000,0
76,34,112000,1
77,18,52000,0
78,22,27000,0
79,28,87000,0
80,26,17000,0
81,30,80000,0
82,39,42000,0
83,20,49000,0
84,35,88000,0
85,30,62000,0
86,31,118000,1
87,24,55000,0
88,28,85000,0
89,26,81000,0
90,35,50000,0
91,22,81000,0
92,30,116000,0
93,26,15000,0
94,29,28000,0
95,29,83000,0
96,35,44000,0
97,35,25000,0
98,28,123000,1
99,35,73000,0
100,28,37000,0
101,27,88000,0
102,28,59000,0
103,32,86000,0
104,33,149000,1
105,19,21000,0
106,21,72000,0
107,26,35000,0
108,27,89000,0
109,26,86000,0
110,38,80000,0
111,39,71000,0
112,37,71000,0
113,38,61000,0
114,37,55000,0
115,42,80000,0
116,40,57000,0
117,35,75000,0
118,36,52000,0
119,40,59000,0
120,41,59000,0
121,36,75000,0
122,37,72000,0
123,40,75000,0
124,35,53000,0
125,41,51000,0
126,39,61000,0
127,42,65000,0
128,26,32000,0
129,30,17000,0
130,26,84000,0
131,31,58000,0
132,33,31000,0
133,30,87000,0
134,21,68000,0
135,28,55000,0
136,23,63000,0
137,20,82000,0
138,30,107000,1
139,28,59000,0
140,19,25000,0
141,19,85000,0
142,18,68000,0
143,35,59000,0
144,30,89000,0
145,34,25000,0
146,24,89000,0
147,27,96000,1
148,41,30000,0
149,29,61000,0
150,20,74000,0
151,26,15000,0
152,41,45000,0
153,31,76000,0
154,36,50000,0
155,40,47000,0
156,31,15000,0
157,46,59000,0
158,29,75000,0
159,26,30000,0
160,32,135000,1
161,32,100000,1
162,25,90000,0
163,37,33000,0
164,35,38000,0
165,33,69000,0
166,18,86000,0
167,22,55000,0
168,35,71000,0
169,29,148000,1
170,29,47000,0
171,21,88000,0
172,34,115000,0
173,26,118000,0
174,34,43000,0
175,34,72000,0
176,23,28000,0
177,35,47000,0
178,25,22000,0
179,24,23000,0
180,31,34000,0
181,26,16000,0
182,31,71000,0
183,32,117000,1
184,33,43000,0
185,33,60000,0
186,31,66000,0
187,20,82000,0
188,33,41000,0
189,35,72000,0
190,28,32000,0
191,24,84000,0
192,19,26000,0
193,29,43000,0
194,19,70000,0
195,28,89000,0
196,34,43000,0
197,30,79000,0
198,20,36000,0
199,26,80000,0
200,35,22000,0
201,35,39000,0
202,49,74000,0
203,39,134000,1
204,41,71000,0
205,58,101000,1
206,47,47000,0
207,55,130000,1
208,52,114000,0
209,40,142000,1
210,46,22000,0
211,48,96000,1
212,52,150000,1
213,59,42000,0
214,35,58000,0
215,47,43000,0
216,60,108000,1
217,49,65000,0
218,40,78000,0
219,46,96000,0
220,59,143000,1
221,41,80000,0
222,35,91000,1
223,37,144000,1
224,60,102000,1
225,35,60000,0
226,37,53000,0
227,36,126000,1
228,56,133000,1
229,40,72000,0
230,42,80000,1
231,35,147000,1
232,39,42000,0
233,40,107000,1
234,49,86000,1
235,38,112000,0
236,46,79000,1
237,40,57000,0
238,37,80000,0
239,46,82000,0
240,53,143000,1
241,42,149000,1
242,38,59000,0
243,50,88000,1
244,56,104000,1
245,41,72000,0
246,51,146000,1
247,35,50000,0
248,57,122000,1
249,41,52000,0
250,35,97000,1
251,44,39000,0
252,37,52000,0
253,48,134000,1
254,37,146000,1
255,50,44000,0
256,52,90000,1
257,41,72000,0
258,40,57000,0
259,58,95000,1
260,45,131000,1
261,35,77000,0
262,36,144000,1
263,55,125000,1
264,35,72000,0
265,48,90000,1
266,42,108000,1
267,40,75000,0
268,37,74000,0
269,47,144000,1
270,40,61000,0
271,43,133000,0
272,59,76000,1
273,60,42000,1
274,39,106000,1
275,57,26000,1
276,57,74000,1
277,38,71000,0
278,49,88000,1
